,datetime,open,high,low,close,volume
1303828,2020-01-01 00:05:00,1.11628,1.11628,1.11628,1.11628,1
1303829,2020-01-01 00:10:00,1.11629,1.11709,1.11629,1.11709,26
1303830,2020-01-01 00:15:00,1.11712,1.11719,1.11703,1.11715,26
1303831,2020-01-01 00:20:00,1.11713,1.11732,1.11713,1.11732,23
1303832,2020-01-01 00:25:00,1.11734,1.1176,1.11734,1.1176,10
1303833,2020-01-01 00:30:00,1.11762,1.11762,1.11762,1.11762,1
1303834,2020-01-01 00:35:00,1.11762,1.11763,1.11761,1.11763,5
1303835,2020-01-01 00:40:00,1.11763,1.11763,1.11763,1.11763,2
1303836,2020-01-01 00:45:00,1.11766,1.11877,1.11766,1.11877,13
1303837,2020-01-01 00:50:00,1.11886,1.11897,1.11886,1.11897,2
1303838,2020-01-01 01:00:00,1.11906,1.11942,1.11906,1.11942,5
1303839,2020-01-01 01:05:00,1.1195,1.1197700000000002,1.1195,1.1197700000000002,5
1303840,2020-01-01 01:15:00,1.11983,1.11983,1.11983,1.11983,1
1303841,2020-01-01 01:25:00,1.11987,1.12019,1.11987,1.12019,9
1303842,2020-01-01 01:30:00,1.12021,1.1209,1.12021,1.1209,29
1303843,2020-01-01 01:35:00,1.12093,1.12105,1.12093,1.12105,6
1303844,2020-01-01 01:50:00,1.12107,1.12122,1.12107,1.12122,6
1303845,2020-01-01 02:00:00,1.12123,1.12146,1.12123,1.12146,13
1303846,2020-01-01 02:15:00,1.12147,1.12147,1.12147,1.12147,1
1303847,2020-01-01 02:30:00,1.12119,1.12145,1.12119,1.12145,14
1303848,2020-01-01 02:35:00,1.12146,1.1215,1.12136,1.12136,11
1303849,2020-01-01 02:50:00,1.12133,1.12133,1.12133,1.12133,1
1303850,2020-01-01 02:55:00,1.12132,1.12132,1.12132,1.12132,1
1303851,2020-01-01 03:05:00,1.12131,1.12131,1.12131,1.12131,1
1303852,2020-01-01 03:10:00,1.12129,1.1213,1.12125,1.1213,8
1303853,2020-01-01 03:15:00,1.1213,1.12136,1.1212799999999998,1.12136,17
1303854,2020-01-01 03:25:00,1.12136,1.12141,1.12136,1.12141,6
1303855,2020-01-01 03:35:00,1.12141,1.12142,1.12141,1.12142,3
1303856,2020-01-01 03:55:00,1.12141,1.12163,1.12139,1.12163,21
1303857,2020-01-01 04:10:00,1.12164,1.12164,1.12164,1.12164,1
1303858,2020-01-01 04:15:00,1.12165,1.1217,1.12165,1.1217,9
1303859,2020-01-01 04:20:00,1.12169,1.1217,1.12168,1.1217,12
1303860,2020-01-01 04:25:00,1.12171,1.12178,1.12171,1.1217700000000002,7
1303861,2020-01-01 04:30:00,1.12178,1.12178,1.12166,1.12166,7
1303862,2020-01-01 04:35:00,1.12163,1.12163,1.12161,1.12161,4
1303863,2020-01-01 04:40:00,1.1216,1.12161,1.1216,1.12161,3
1303864,2020-01-01 04:50:00,1.1216,1.12161,1.12159,1.1216,6
1303865,2020-01-01 05:00:00,1.1216,1.1216,1.1216,1.1216,1
1303866,2020-01-01 05:05:00,1.12159,1.12179,1.12159,1.12179,20
1303867,2020-01-01 05:20:00,1.12178,1.12186,1.12178,1.12186,6
1303868,2020-01-01 05:30:00,1.12187,1.12188,1.12187,1.12188,3
1303869,2020-01-01 05:55:00,1.1215700000000002,1.1215700000000002,1.1215700000000002,1.1215700000000002,2
1303870,2020-01-01 06:00:00,1.11641,1.11829,1.11641,1.11829,7
1303871,2020-01-01 06:10:00,1.11854,1.11854,1.11854,1.11854,1
1303872,2020-01-01 06:20:00,1.11847,1.11968,1.11847,1.11968,7
1303873,2020-01-01 06:30:00,1.11984,1.12088,1.11984,1.12088,14
1303874,2020-01-01 06:40:00,1.12091,1.12097,1.12091,1.12097,3
1303875,2020-01-01 06:45:00,1.121,1.12134,1.121,1.12134,11
1303876,2020-01-01 06:55:00,1.12137,1.12137,1.12137,1.12137,1
1303877,2020-01-01 07:00:00,1.12139,1.12143,1.12139,1.12143,3
1303878,2020-01-01 07:05:00,1.12145,1.12155,1.12145,1.12155,5
1303879,2020-01-01 07:15:00,1.1215700000000002,1.12161,1.1215700000000002,1.12161,5
1303880,2020-01-01 07:20:00,1.12163,1.12169,1.12163,1.12169,6
